Monumentour		0.197	0.081	0	0.887	0.161	0.034	0	0.376					
reliable	0	0	0	1	0	0	0	0	0		0			
psyched	0	0	0	0	0	1	0	0	0		0	0	0	2
jammed	0.081	0	1	0	0	0	0	0	0		0.081	0.033	0.081	5
Best	0.887	0	0	0	1	0	0	0	0		0.887	0.081	0.887	8
cantwait	0.376	0	0	0	0	0	0	0	1		0.376	0.161	0.376	10
amazing	0.226576	0.578	0	0	0	0.578	0.578	0	0		19.858924	0.197	19.859	1
award	0.376	0	0	0	0	0	0	0	1		0.376	0.254	0.351	1
better	0.376	0	0	0	0	0	0	0	1		0.376	0.351	0.161	7
hope	0.350932	0	0	0	0	0	0.446	0	0.893		0.350932	0.376	0.743	1
hello	0.161	0	0	0	0	1	0	0	0		0.161	0.424	0.653	1
WANT	0.743032	0	0	0	0.709	0.709	0	0	0		0.743032	0.653	0.197	3
rock	0.652989	0	0	0	0.709	0	0.709	0	0		0.652989	0.743	0.769	1
correct	0.197	1	0	0	0	0	0	0	0		0.197	0.769	0.960	1
heart	0.768556	0.709	0	0	0.709	0	0	0	0		0.768556	0.816	0.933	1
Well	0.376	0	0	0	0	0	0	0	1		0.376	0.887	1.270	1
pumped	0.887	0	0	0	1	0	0	0	0		0.887	0.933	0.424	1
thank	0.197	1	0	0	0	0	0	0	0		0.197	0.960	0.816	1
beautiful	0.887	0	0	0	1	0	0	0	0		0.887	1.270	0.033	1
greet	0.959787	0	0	0	0.893	0	0	0	0.446		0.959787	19.859	0.254	1
amor	0.933166	0.034	0.03	0	0.978	0.188	0.01	0	0.069		0.933166			47
love	0.376	0	0	0	0	0	0	0	1		0.376			
Caring	0.376	0	0	0	0	0	0	0	1		0.376			
FREAKING	0.376	0	0	0	0	0	0	0	1		0.376			
important	0.161	0	0	0	0	1	0	0	0		0.161			
Fan	0.161	0	0	0	0	1	0	0	0		0.161			
Favorite	0.376	0	0	0	0	0	0	0	1		0.376			
Dates	0.887	0	0	0	1	0	0	0	0		0.887			
happy	1.26982	1.73	0	0	0	1.73	0	0	1.73		1.26982			
WOOO	0.424252	0.578	0	0	0	0.578	0	0	0.578		0.424252			
fun	0.081	0	1	0	0	0	0	0	0		0.081			
grateful	0.376	0	0	0	0	0	0	0	1		0.376			
favourite	0.161	0	0	0	0	1	0	0	0		0.161			
like	0.197102	0.709	0.709	0	0	0	0	0	0		0.197102			
wanted	0.887	0	0	0	1	0	0	0	0		0.887			
YESSSSSSS	0.887	0	0	0	1	0	0	0	0		0.887			
giving	0.081	0	1	0	0	0	0	0	0		0.081			
excited	0.816494	0.167	0	0	0.5	0.167	0	0	0.833		0.816494			
honestly	0.161	0	0	0	0	1	0	0	0		0.161			
please	0.03336	0.12	0.12	0.239	0	0	0	0.956			0.03336			
fans	0.253822	0.709	0	0	0	0.709	0	0	0		0.253822			
OHHNYYGOODD	0.161	0	0	0	0	1	0	0	0		0.161			
WOW	0.376	0	0	0	0	0	0	0	1		0.376			
whoaaaaa	0.081	0	1	0	0	0	0	0	0		0.081			
pretty	0.081	0	1	0	0	0	0	0	0		0.081			
aweeeeeessooommme	0.887	0	0	0	1	0	0	0	0		0.887			
YESS	0.887	0	0	0	1	0	0	0	0		0.887			
WANTEDTOGO	0.161	0	0	0	0	1	0	0	0		0.161			
